,Kitsp,lon,lat,Rooms,Brick,Bal,Nfloors,Dist,District,Tel,New,Price,Floor,Livesp,Totsp,N,Walk,Metrdist
5080,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3854774,2,"39,2","39,2",5080,1.0,15
5081,–,37.510957,55.523648,1,1.0,0.0,16,0.06830434648314976,0,1.0,,3881322,3,"38,8","38,8",5081,1.0,15
5082,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3916322,5,"38,6","38,6",5082,1.0,15
5083,–,37.510957,55.523648,1,1.0,0.0,16,0.06830434648314976,0,1.0,,4027770,14,"37,7","37,7",5083,1.0,15
5084,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,4081641,12,"40,6","40,6",5084,1.0,15
5085,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,4174451,16,"40,4","40,4",5085,1.0,15
5086,9,37.589635,55.504517,1,0.0,1.0,17,0.06830434648314976,0,1.0,0.0,4300000,13,20,44,5086,0.0,15
5087,"8,5",37.5925,55.503405,1,0.0,1.0,14,0.06830434648314976,0,,0.0,4300000,13,"19,7","42,1",5087,0.0,15
5088,6,37.481163,55.62666,1,,,9,0.06830434648314976,0,1.0,0.0,4300000,1,16,28,5088,0.0,5
5089,8,37.509676,55.540032,1,0.0,,14,0.06830434648314976,0,1.0,0.0,4400000,2,"18,9","37,6",5089,1.0,5
5090,6,37.5228,55.600816,1,0.0,,9,0.06830434648314976,0,1.0,0.0,4500000,5,18,33,5090,1.0,12
5091,9,37.583293,55.503589,1,,1.0,17,0.06830434648314976,0,0.0,0.0,4500000,3,20,42,5091,,
5092,7,37.594567,55.504899,1,0.0,1.0,17,0.06830434648314976,0,1.0,0.0,4500000,6,18,40,5092,,
5093,8,37.576412,55.503767,1,0.0,1.0,17,0.06830434648314976,0,1.0,0.0,4500000,6,18,38,5093,1.0,5
5094,"8,7",37.594549,55.503038,1,,1.0,10,0.06830434648314976,0,1.0,0.0,4500000,4,20,"42,2",5094,0.0,15
5095,12,37.596956,55.501355,1,0.0,1.0,24,0.06830434648314976,0,0.0,0.0,4550000,7,19,40,5095,0.0,10
5096,9,37.589114,55.50312,1,0.0,1.0,14,0.06830434648314976,0,1.0,0.0,4600000,7,"19,8","43,4",5096,,
5097,"18,5",37.588611,55.570405,2,1.0,0.0,7,0.06830434648314976,0,0.0,0.0,18300000,2,"48,5",96,5097,0.0,10
5098,8,37.593363,55.659759,1,0.0,1.0,17,0.06830434648314976,0,1.0,0.0,9900000,9,20,38,5098,1.0,8
5099,"6,6",37.497643,55.649277,1,1.0,1.0,7,0.06830434648314976,0,,,4905440,2,"15,5","34,4",5099,0.0,7
5100,–,37.569866,55.570105,1,1.0,1.0,7,0.06830434648314976,0,1.0,,2865000,3,"20,5","20,5",5100,1.0,8
5101,3,37.533921,55.648997,1,,,15,0.06830434648314976,0,0.0,0.0,2920500,2,12,"17,7",5101,1.0,11
5102,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3081784,17,"27,9","27,9",5102,1.0,15
5103,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3082891,16,"27,9","27,9",5103,1.0,15
5104,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3179644,14,"28,6","28,6",5104,1.0,15
5105,3,37.533921,55.648997,1,,,15,0.06830434648314976,0,,0.0,3311500,9,12,"17,9",5105,1.0,11
5106,–,37.510957,55.523648,1,1.0,0.0,16,0.06830434648314976,0,1.0,,3790725,2,"37,2","37,2",5106,1.0,15
5107,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3814554,2,"37,2","37,2",5107,1.0,15
5108,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3854774,2,"39,2","39,2",5108,1.0,15
5109,–,37.510957,55.523648,1,1.0,0.0,16,0.06830434648314976,0,1.0,,3881322,3,"38,8","38,8",5109,1.0,15
5110,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3916322,5,"38,6","38,6",5110,1.0,15
5111,–,37.510957,55.523648,1,1.0,0.0,16,0.06830434648314976,0,1.0,,4027770,14,"37,7","37,7",5111,1.0,15
5112,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,4081641,12,"40,6","40,6",5112,1.0,15
5113,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,4174451,16,"40,4","40,4",5113,1.0,15
5114,9,37.589635,55.504517,1,0.0,1.0,17,0.06830434648314976,0,1.0,0.0,4300000,13,20,44,5114,0.0,15
5115,"8,5",37.5925,55.503405,1,0.0,1.0,14,0.06830434648314976,0,,0.0,4300000,13,"19,7","42,1",5115,0.0,15
5116,6,37.481163,55.62666,1,,,9,0.06830434648314976,0,1.0,0.0,4300000,1,16,28,5116,0.0,5
5117,8,37.509676,55.540032,1,0.0,,14,0.06830434648314976,0,1.0,0.0,4400000,2,"18,9","37,6",5117,1.0,5
5118,6,37.5228,55.600816,1,0.0,,9,0.06830434648314976,0,1.0,0.0,4500000,5,18,33,5118,1.0,12
5119,9,37.583293,55.503589,1,,1.0,17,0.06830434648314976,0,0.0,0.0,4500000,3,20,42,5119,,
5120,7,37.594567,55.504899,1,0.0,1.0,17,0.06830434648314976,0,1.0,0.0,4500000,6,18,40,5120,,
5121,8,37.576412,55.503767,1,0.0,1.0,17,0.06830434648314976,0,1.0,0.0,4500000,6,18,38,5121,1.0,5
5122,"8,7",37.594549,55.503038,1,,1.0,10,0.06830434648314976,0,1.0,0.0,4500000,4,20,"42,2",5122,0.0,15
5123,12,37.596956,55.501355,1,0.0,1.0,24,0.06830434648314976,0,0.0,0.0,4550000,7,19,40,5123,0.0,10
5124,9,37.589114,55.50312,1,0.0,1.0,14,0.06830434648314976,0,1.0,0.0,4600000,7,"19,8","43,4",5124,,
5125,10,37.597073,55.64317,1,,,24,0.06830434648314976,0,1.0,0.0,6900000,4,18,40,5125,1.0,7
5126,11,37.510957,55.523648,2,1.0,1.0,17,0.06830434648314976,0,1.0,,6938435,17,"36,7","62,4",5126,1.0,15
5127,"10,3",37.574525,55.686919,2,1.0,1.0,8,0.06830434648314976,0,1.0,0.0,20500000,8,"37,2","63,8",5127,1.0,1
5128,–,37.569866,55.570105,1,1.0,1.0,7,0.06830434648314976,0,1.0,,2865000,3,"20,5","20,5",5128,1.0,8
5129,3,37.533921,55.648997,1,,,15,0.06830434648314976,0,0.0,0.0,2920500,2,12,"17,7",5129,1.0,11
5130,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3081784,17,"27,9","27,9",5130,1.0,15
5131,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3082891,16,"27,9","27,9",5131,1.0,15
5132,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3179644,14,"28,6","28,6",5132,1.0,15
5133,3,37.533921,55.648997,1,,,15,0.06830434648314976,0,,0.0,3311500,9,12,"17,9",5133,1.0,11
5134,–,37.510957,55.523648,1,1.0,0.0,16,0.06830434648314976,0,1.0,,3790725,2,"37,2","37,2",5134,1.0,15
5135,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3814554,2,"37,2","37,2",5135,1.0,15
5136,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3854774,2,"39,2","39,2",5136,1.0,15
5137,–,37.510957,55.523648,1,1.0,0.0,16,0.06830434648314976,0,1.0,,3881322,3,"38,8","38,8",5137,1.0,15
5138,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3916322,5,"38,6","38,6",5138,1.0,15
5139,–,37.510957,55.523648,1,1.0,0.0,16,0.06830434648314976,0,1.0,,4027770,14,"37,7","37,7",5139,1.0,15
5140,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,4081641,12,"40,6","40,6",5140,1.0,15
5141,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,4174451,16,"40,4","40,4",5141,1.0,15
5142,9,37.589635,55.504517,1,0.0,1.0,17,0.06830434648314976,0,1.0,0.0,4300000,13,20,44,5142,0.0,15
5143,"8,5",37.5925,55.503405,1,0.0,1.0,14,0.06830434648314976,0,,0.0,4300000,13,"19,7","42,1",5143,0.0,15
5144,6,37.481163,55.62666,1,,,9,0.06830434648314976,0,1.0,0.0,4300000,1,16,28,5144,0.0,5
5145,8,37.509676,55.540032,1,0.0,,14,0.06830434648314976,0,1.0,0.0,4400000,2,"18,9","37,6",5145,1.0,5
5146,6,37.5228,55.600816,1,0.0,,9,0.06830434648314976,0,1.0,0.0,4500000,5,18,33,5146,1.0,12
5147,9,37.583293,55.503589,1,,1.0,17,0.06830434648314976,0,0.0,0.0,4500000,3,20,42,5147,,
5148,7,37.594567,55.504899,1,0.0,1.0,17,0.06830434648314976,0,1.0,0.0,4500000,6,18,40,5148,,
5149,8,37.576412,55.503767,1,0.0,1.0,17,0.06830434648314976,0,1.0,0.0,4500000,6,18,38,5149,1.0,5
5150,"8,7",37.594549,55.503038,1,,1.0,10,0.06830434648314976,0,1.0,0.0,4500000,4,20,"42,2",5150,0.0,15
5151,12,37.596956,55.501355,1,0.0,1.0,24,0.06830434648314976,0,0.0,0.0,4550000,7,19,40,5151,0.0,10
5152,9,37.589114,55.50312,1,0.0,1.0,14,0.06830434648314976,0,1.0,0.0,4600000,7,"19,8","43,4",5152,,
5153,10,37.581227,55.564394,1,1.0,1.0,16,0.06830434648314976,0,1.0,0.0,7800000,16,19,"39,6",5153,1.0,8
5154,15,37.509397,55.661379,2,1.0,,40,0.06830434648314976,0,1.0,0.0,19570000,30,40,"68,2",5154,1.0,14
5155,9,37.54983,55.543903,1,0.0,1.0,17,0.06830434648314976,0,1.0,0.0,5900000,4,20,39,5155,1.0,6
5156,–,37.569866,55.570105,1,1.0,1.0,7,0.06830434648314976,0,1.0,,2865000,3,"20,5","20,5",5156,1.0,8
5157,3,37.533921,55.648997,1,,,15,0.06830434648314976,0,0.0,0.0,2920500,2,12,"17,7",5157,1.0,11
5158,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3081784,17,"27,9","27,9",5158,1.0,15
5159,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3082891,16,"27,9","27,9",5159,1.0,15
5160,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3179644,14,"28,6","28,6",5160,1.0,15
5161,3,37.533921,55.648997,1,,,15,0.06830434648314976,0,,0.0,3311500,9,12,"17,9",5161,1.0,11
5162,–,37.510957,55.523648,1,1.0,0.0,16,0.06830434648314976,0,1.0,,3790725,2,"37,2","37,2",5162,1.0,15
5163,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3814554,2,"37,2","37,2",5163,1.0,15
5164,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3854774,2,"39,2","39,2",5164,1.0,15
5165,–,37.510957,55.523648,1,1.0,0.0,16,0.06830434648314976,0,1.0,,3881322,3,"38,8","38,8",5165,1.0,15
5166,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3916322,5,"38,6","38,6",5166,1.0,15
5167,–,37.510957,55.523648,1,1.0,0.0,16,0.06830434648314976,0,1.0,,4027770,14,"37,7","37,7",5167,1.0,15
5168,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,4081641,12,"40,6","40,6",5168,1.0,15
5169,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,4174451,16,"40,4","40,4",5169,1.0,15
5170,9,37.589635,55.504517,1,0.0,1.0,17,0.06830434648314976,0,1.0,0.0,4300000,13,20,44,5170,0.0,15
5171,"8,5",37.5925,55.503405,1,0.0,1.0,14,0.06830434648314976,0,,0.0,4300000,13,"19,7","42,1",5171,0.0,15
5172,6,37.481163,55.62666,1,,,9,0.06830434648314976,0,1.0,0.0,4300000,1,16,28,5172,0.0,5
5173,8,37.509676,55.540032,1,0.0,,14,0.06830434648314976,0,1.0,0.0,4400000,2,"18,9","37,6",5173,1.0,5
5174,6,37.5228,55.600816,1,0.0,,9,0.06830434648314976,0,1.0,0.0,4500000,5,18,33,5174,1.0,12
5175,9,37.583293,55.503589,1,,1.0,17,0.06830434648314976,0,0.0,0.0,4500000,3,20,42,5175,,
5176,7,37.594567,55.504899,1,0.0,1.0,17,0.06830434648314976,0,1.0,0.0,4500000,6,18,40,5176,,
5177,8,37.576412,55.503767,1,0.0,1.0,17,0.06830434648314976,0,1.0,0.0,4500000,6,18,38,5177,1.0,5
5178,"8,7",37.594549,55.503038,1,,1.0,10,0.06830434648314976,0,1.0,0.0,4500000,4,20,"42,2",5178,0.0,15
5179,12,37.596956,55.501355,1,0.0,1.0,24,0.06830434648314976,0,0.0,0.0,4550000,7,19,40,5179,0.0,10
5180,9,37.589114,55.50312,1,0.0,1.0,14,0.06830434648314976,0,1.0,0.0,4600000,7,"19,8","43,4",5180,,
5181,"6,6",37.497643,55.649277,1,1.0,1.0,7,0.06830434648314976,0,,,4905440,2,"15,5","34,4",5181,0.0,7
5182,30,37.510439,55.661217,2,1.0,0.0,34,0.06830434648314976,0,0.0,0.0,19600000,29,15,67,5182,0.0,5
5183,12,37.497643,55.649277,1,1.0,1.0,7,0.06830434648314976,0,1.0,,6000000,3,20,40,5183,0.0,15
5184,–,37.569866,55.570105,1,1.0,1.0,7,0.06830434648314976,0,1.0,,2865000,3,"20,5","20,5",5184,1.0,8
5185,3,37.533921,55.648997,1,,,15,0.06830434648314976,0,0.0,0.0,2920500,2,12,"17,7",5185,1.0,11
5186,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3081784,17,"27,9","27,9",5186,1.0,15
5187,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3082891,16,"27,9","27,9",5187,1.0,15
5188,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3179644,14,"28,6","28,6",5188,1.0,15
5189,3,37.533921,55.648997,1,,,15,0.06830434648314976,0,,0.0,3311500,9,12,"17,9",5189,1.0,11
5190,–,37.510957,55.523648,1,1.0,0.0,16,0.06830434648314976,0,1.0,,3790725,2,"37,2","37,2",5190,1.0,15
5191,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3814554,2,"37,2","37,2",5191,1.0,15
5192,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3854774,2,"39,2","39,2",5192,1.0,15
5193,–,37.510957,55.523648,1,1.0,0.0,16,0.06830434648314976,0,1.0,,3881322,3,"38,8","38,8",5193,1.0,15
5194,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3916322,5,"38,6","38,6",5194,1.0,15
5195,–,37.510957,55.523648,1,1.0,0.0,16,0.06830434648314976,0,1.0,,4027770,14,"37,7","37,7",5195,1.0,15
5196,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,4081641,12,"40,6","40,6",5196,1.0,15
5197,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,4174451,16,"40,4","40,4",5197,1.0,15
5198,9,37.589635,55.504517,1,0.0,1.0,17,0.06830434648314976,0,1.0,0.0,4300000,13,20,44,5198,0.0,15
5199,"8,5",37.5925,55.503405,1,0.0,1.0,14,0.06830434648314976,0,,0.0,4300000,13,"19,7","42,1",5199,0.0,15
5200,6,37.481163,55.62666,1,,,9,0.06830434648314976,0,1.0,0.0,4300000,1,16,28,5200,0.0,5
5201,8,37.509676,55.540032,1,0.0,,14,0.06830434648314976,0,1.0,0.0,4400000,2,"18,9","37,6",5201,1.0,5
5202,6,37.5228,55.600816,1,0.0,,9,0.06830434648314976,0,1.0,0.0,4500000,5,18,33,5202,1.0,12
5203,9,37.583293,55.503589,1,,1.0,17,0.06830434648314976,0,0.0,0.0,4500000,3,20,42,5203,,
5204,7,37.594567,55.504899,1,0.0,1.0,17,0.06830434648314976,0,1.0,0.0,4500000,6,18,40,5204,,
5205,8,37.576412,55.503767,1,0.0,1.0,17,0.06830434648314976,0,1.0,0.0,4500000,6,18,38,5205,1.0,5
5206,"8,7",37.594549,55.503038,1,,1.0,10,0.06830434648314976,0,1.0,0.0,4500000,4,20,"42,2",5206,0.0,15
5207,12,37.596956,55.501355,1,0.0,1.0,24,0.06830434648314976,0,0.0,0.0,4550000,7,19,40,5207,0.0,10
5208,9,37.589114,55.50312,1,0.0,1.0,14,0.06830434648314976,0,1.0,0.0,4600000,7,"19,8","43,4",5208,,
5209,12,37.562488,55.687365,1,,1.0,29,0.06830434648314976,0,1.0,0.0,39000000,27,50,"84,2",5209,1.0,9
5210,10,37.540838,55.599906,1,0.0,1.0,22,0.06830434648314976,0,0.0,0.0,7400000,5,20,41,5210,1.0,10
5211,"15,2",37.551786,55.680985,2,1.0,1.0,20,0.06830434648314976,0,1.0,,16244877,2,40,"75,5",5211,1.0,15
5212,–,37.569866,55.570105,1,1.0,1.0,7,0.06830434648314976,0,1.0,,2865000,3,"20,5","20,5",5212,1.0,8
5213,3,37.533921,55.648997,1,,,15,0.06830434648314976,0,0.0,0.0,2920500,2,12,"17,7",5213,1.0,11
5214,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3081784,17,"27,9","27,9",5214,1.0,15
5215,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3082891,16,"27,9","27,9",5215,1.0,15
5216,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3179644,14,"28,6","28,6",5216,1.0,15
5217,3,37.533921,55.648997,1,,,15,0.06830434648314976,0,,0.0,3311500,9,12,"17,9",5217,1.0,11
5218,–,37.510957,55.523648,1,1.0,0.0,16,0.06830434648314976,0,1.0,,3790725,2,"37,2","37,2",5218,1.0,15
5219,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3814554,2,"37,2","37,2",5219,1.0,15
5220,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3854774,2,"39,2","39,2",5220,1.0,15
5221,–,37.510957,55.523648,1,1.0,0.0,16,0.06830434648314976,0,1.0,,3881322,3,"38,8","38,8",5221,1.0,15
5222,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3916322,5,"38,6","38,6",5222,1.0,15
5223,–,37.510957,55.523648,1,1.0,0.0,16,0.06830434648314976,0,1.0,,4027770,14,"37,7","37,7",5223,1.0,15
5224,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,4081641,12,"40,6","40,6",5224,1.0,15
5225,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,4174451,16,"40,4","40,4",5225,1.0,15
5226,9,37.589635,55.504517,1,0.0,1.0,17,0.06830434648314976,0,1.0,0.0,4300000,13,20,44,5226,0.0,15
5227,"8,5",37.5925,55.503405,1,0.0,1.0,14,0.06830434648314976,0,,0.0,4300000,13,"19,7","42,1",5227,0.0,15
5228,6,37.481163,55.62666,1,,,9,0.06830434648314976,0,1.0,0.0,4300000,1,16,28,5228,0.0,5
5229,8,37.509676,55.540032,1,0.0,,14,0.06830434648314976,0,1.0,0.0,4400000,2,"18,9","37,6",5229,1.0,5
5230,6,37.5228,55.600816,1,0.0,,9,0.06830434648314976,0,1.0,0.0,4500000,5,18,33,5230,1.0,12
5231,9,37.583293,55.503589,1,,1.0,17,0.06830434648314976,0,0.0,0.0,4500000,3,20,42,5231,,
5232,7,37.594567,55.504899,1,0.0,1.0,17,0.06830434648314976,0,1.0,0.0,4500000,6,18,40,5232,,
5233,8,37.576412,55.503767,1,0.0,1.0,17,0.06830434648314976,0,1.0,0.0,4500000,6,18,38,5233,1.0,5
5234,"8,7",37.594549,55.503038,1,,1.0,10,0.06830434648314976,0,1.0,0.0,4500000,4,20,"42,2",5234,0.0,15
5235,12,37.596956,55.501355,1,0.0,1.0,24,0.06830434648314976,0,0.0,0.0,4550000,7,19,40,5235,0.0,10
5236,9,37.589114,55.50312,1,0.0,1.0,14,0.06830434648314976,0,1.0,0.0,4600000,7,"19,8","43,4",5236,,
5237,8,37.576825,55.706533,2,0.0,1.0,8,0.06830434648314976,0,1.0,,12500000,8,30,"48,5",5237,1.0,10
5238,11,37.560224,55.54866,1,0.0,1.0,12,0.06830434648314976,0,0.0,0.0,6200000,10,14,"34,3",5238,1.0,2
5239,"7,6",37.536605,55.609144,2,,,23,0.06830434648314976,0,,,16021000,10,45,"86,6",5239,,
5240,–,37.569866,55.570105,1,1.0,1.0,7,0.06830434648314976,0,1.0,,2865000,3,"20,5","20,5",5240,1.0,8
5241,3,37.533921,55.648997,1,,,15,0.06830434648314976,0,0.0,0.0,2920500,2,12,"17,7",5241,1.0,11
5242,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3081784,17,"27,9","27,9",5242,1.0,15
5243,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3082891,16,"27,9","27,9",5243,1.0,15
5244,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3179644,14,"28,6","28,6",5244,1.0,15
5245,3,37.533921,55.648997,1,,,15,0.06830434648314976,0,,0.0,3311500,9,12,"17,9",5245,1.0,11
5246,–,37.510957,55.523648,1,1.0,0.0,16,0.06830434648314976,0,1.0,,3790725,2,"37,2","37,2",5246,1.0,15
5247,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3814554,2,"37,2","37,2",5247,1.0,15
5248,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3854774,2,"39,2","39,2",5248,1.0,15
5249,–,37.510957,55.523648,1,1.0,0.0,16,0.06830434648314976,0,1.0,,3881322,3,"38,8","38,8",5249,1.0,15
5250,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3916322,5,"38,6","38,6",5250,1.0,15
5251,–,37.510957,55.523648,1,1.0,0.0,16,0.06830434648314976,0,1.0,,4027770,14,"37,7","37,7",5251,1.0,15
5252,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,4081641,12,"40,6","40,6",5252,1.0,15
5253,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,4174451,16,"40,4","40,4",5253,1.0,15
5254,9,37.589635,55.504517,1,0.0,1.0,17,0.06830434648314976,0,1.0,0.0,4300000,13,20,44,5254,0.0,15
5255,"8,5",37.5925,55.503405,1,0.0,1.0,14,0.06830434648314976,0,,0.0,4300000,13,"19,7","42,1",5255,0.0,15
5256,6,37.481163,55.62666,1,,,9,0.06830434648314976,0,1.0,0.0,4300000,1,16,28,5256,0.0,5
5257,8,37.509676,55.540032,1,0.0,,14,0.06830434648314976,0,1.0,0.0,4400000,2,"18,9","37,6",5257,1.0,5
5258,6,37.5228,55.600816,1,0.0,,9,0.06830434648314976,0,1.0,0.0,4500000,5,18,33,5258,1.0,12
5259,9,37.583293,55.503589,1,,1.0,17,0.06830434648314976,0,0.0,0.0,4500000,3,20,42,5259,,
5260,7,37.594567,55.504899,1,0.0,1.0,17,0.06830434648314976,0,1.0,0.0,4500000,6,18,40,5260,,
5261,8,37.576412,55.503767,1,0.0,1.0,17,0.06830434648314976,0,1.0,0.0,4500000,6,18,38,5261,1.0,5
5262,"8,7",37.594549,55.503038,1,,1.0,10,0.06830434648314976,0,1.0,0.0,4500000,4,20,"42,2",5262,0.0,15
5263,12,37.596956,55.501355,1,0.0,1.0,24,0.06830434648314976,0,0.0,0.0,4550000,7,19,40,5263,0.0,10
5264,9,37.589114,55.50312,1,0.0,1.0,14,0.06830434648314976,0,1.0,0.0,4600000,7,"19,8","43,4",5264,,
5265,15,37.509397,55.661379,2,1.0,,48,0.06830434648314976,0,0.0,0.0,19690000,31,55,81,5265,1.0,24
5266,"10,3",37.574525,55.686919,2,1.0,1.0,8,0.06830434648314976,0,1.0,0.0,20500000,8,"37,2","63,8",5266,1.0,1
5267,6,37.590389,55.682783,1,0.0,1.0,5,0.06830434648314976,0,1.0,0.0,6500000,5,18,30,5267,1.0,15
5268,–,37.569866,55.570105,1,1.0,1.0,7,0.06830434648314976,0,1.0,,2865000,3,"20,5","20,5",5268,1.0,8
5269,3,37.533921,55.648997,1,,,15,0.06830434648314976,0,0.0,0.0,2920500,2,12,"17,7",5269,1.0,11
5270,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3081784,17,"27,9","27,9",5270,1.0,15
5271,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3082891,16,"27,9","27,9",5271,1.0,15
5272,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3179644,14,"28,6","28,6",5272,1.0,15
5273,3,37.533921,55.648997,1,,,15,0.06830434648314976,0,,0.0,3311500,9,12,"17,9",5273,1.0,11
5274,–,37.510957,55.523648,1,1.0,0.0,16,0.06830434648314976,0,1.0,,3790725,2,"37,2","37,2",5274,1.0,15
5275,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3814554,2,"37,2","37,2",5275,1.0,15
5276,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3854774,2,"39,2","39,2",5276,1.0,15
5277,–,37.510957,55.523648,1,1.0,0.0,16,0.06830434648314976,0,1.0,,3881322,3,"38,8","38,8",5277,1.0,15
5278,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,3916322,5,"38,6","38,6",5278,1.0,15
5279,–,37.510957,55.523648,1,1.0,0.0,16,0.06830434648314976,0,1.0,,4027770,14,"37,7","37,7",5279,1.0,15
5280,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,4081641,12,"40,6","40,6",5280,1.0,15
5281,–,37.510957,55.523648,1,1.0,0.0,17,0.06830434648314976,0,1.0,,4174451,16,"40,4","40,4",5281,1.0,15
5282,9,37.589635,55.504517,1,0.0,1.0,17,0.06830434648314976,0,1.0,0.0,4300000,13,20,44,5282,0.0,15
5283,"8,5",37.5925,55.503405,1,0.0,1.0,14,0.06830434648314976,0,,0.0,4300000,13,"19,7","42,1",5283,0.0,15
5284,6,37.481163,55.62666,1,,,9,0.06830434648314976,0,1.0,0.0,4300000,1,16,28,5284,0.0,5
5285,8,37.509676,55.540032,1,0.0,,14,0.06830434648314976,0,1.0,0.0,4400000,2,"18,9","37,6",5285,1.0,5
5286,6,37.5228,55.600816,1,0.0,,9,0.06830434648314976,0,1.0,0.0,4500000,5,18,33,5286,1.0,12
5287,9,37.583293,55.503589,1,,1.0,17,0.06830434648314976,0,0.0,0.0,4500000,3,20,42,5287,,
5288,7,37.594567,55.504899,1,0.0,1.0,17,0.06830434648314976,0,1.0,0.0,4500000,6,18,40,5288,,
5289,8,37.576412,55.503767,1,0.0,1.0,17,0.06830434648314976,0,1.0,0.0,4500000,6,18,38,5289,1.0,5
5290,"8,7",37.594549,55.503038,1,,1.0,10,0.06830434648314976,0,1.0,0.0,4500000,4,20,"42,2",5290,0.0,15
5291,12,37.596956,55.501355,1,0.0,1.0,24,0.06830434648314976,0,0.0,0.0,4550000,7,19,40,5291,0.0,10
5292,9,37.589114,55.50312,1,0.0,1.0,14,0.06830434648314976,0,1.0,0.0,4600000,7,"19,8","43,4",5292,,
