,Kitsp,lon,lat,Rooms,Brick,Bal,Nfloors,Dist,District,Tel,New,Price,Floor,Livesp,Totsp,N,Walk,Metrdist
90,–,37.67228,55.775824,2,1.0,0.0,6,0.06830434648314976,0,0.0,0.0,8323802,2,"55,2","55,2",90,1.0,5
91,–,37.671938,55.775753,1,,0.0,,0.06830434648314976,0,,,8335196,1,"34,4","34,4",91,1.0,6
92,6,37.570312,55.762505,1,1.0,,5,0.06830434648314976,0,1.0,0.0,8400000,5,19,31,92,1.0,7
93,–,37.67228,55.775824,1,1.0,0.0,6,0.06830434648314976,0,0.0,0.0,8437054,2,"39,8","39,8",93,1.0,5
94,9,37.59153,55.78486,1,0.0,1.0,16,0.06830434648314976,0,1.0,0.0,8500000,6,18,35,94,1.0,10
95,"5,1",37.562676,55.761872,1,0.0,1.0,9,0.06830434648314976,0,1.0,0.0,8500000,5,"21,3","31,6",95,1.0,3
96,"11,5",37.668156,55.734805,1,0.0,,17,0.06830434648314976,0,1.0,0.0,8500000,6,"18,5",37,96,1.0,5
97,5,37.567159,55.755282,2,1.0,0.0,9,0.06830434648314976,0,0.0,0.0,8500000,1,"26,6",42,97,1.0,7
98,12,37.703972,55.771034,2,0.0,1.0,13,0.06830434648314976,0,1.0,0.0,8600000,1,37,52,98,1.0,18
99,–,37.671938,55.775753,1,,0.0,,0.06830434648314976,0,,,8611226,4,"36,8","36,8",99,1.0,6
100,–,37.671938,55.775753,1,,0.0,,0.06830434648314976,0,,,8628726,3,50,50,100,1.0,6
101,9,37.668237,55.780046,1,1.0,,14,0.06830434648314976,0,,0.0,8650000,13,"23,1","38,8",101,1.0,2
102,–,37.564721,55.771218,1,1.0,,39,0.06830434648314976,0,,,8694150,2,–,"44,7",102,1.0,5
103,8,37.68897,55.742103,1,0.0,1.0,17,0.06830434648314976,0,1.0,0.0,8700000,12,19,39,103,1.0,10
104,6,37.629547,55.791344,2,1.0,1.0,9,0.06830434648314976,0,1.0,0.0,8700000,4,29,44,104,0.0,6
105,"5,5",37.63023,55.789482,2,1.0,1.0,5,0.06830434648314976,0,0.0,0.0,8700000,4,28,41,105,0.0,6
106,9,37.687659,55.743041,1,1.0,1.0,17,0.06830434648314976,0,0.0,0.0,8700000,6,20,38,106,1.0,10
107,6,37.587021,55.76762,1,0.0,1.0,5,0.06830434648314976,0,1.0,0.0,8800000,3,18,30,107,1.0,9
108,5,37.580436,55.738343,1,1.0,1.0,5,0.06830434648314976,0,1.0,0.0,8800000,5,18,30,108,1.0,13
109,–,37.671938,55.775753,1,,0.0,,0.06830434648314976,0,,,8839861,2,"52,7","52,7",109,1.0,6
110,–,37.671938,55.775753,1,,0.0,,0.06830434648314976,0,,,8851913,2,"40,3","40,3",110,1.0,6
111,–,37.671938,55.775753,1,,0.0,,0.06830434648314976,0,,,8896178,3,"39,4","39,4",111,1.0,6
112,10,37.682592,55.771616,1,1.0,,3,0.06830434648314976,0,1.0,0.0,8900000,1,23,39,112,1.0,3
113,15,37.637605,55.769519,2,1.0,0.0,8,0.06830434648314976,0,1.0,0.0,23739600,2,40,"76,6",113,1.0,7
114,"9,1",37.581954,55.768502,1,1.0,1.0,12,0.06830434648314976,0,1.0,0.0,12100000,9,18,"36,2",114,1.0,13
115,–,37.649732,55.750079,4,,,5,0.06830434648314976,0,1.0,0.0,145000000,4,–,"209,5",115,1.0,13
116,11,37.68765,55.740015,1,1.0,1.0,25,0.06830434648314976,0,1.0,0.0,8900000,21,22,43,116,1.0,14
117,7,37.67431,55.728591,2,0.0,1.0,12,0.06830434648314976,0,1.0,0.0,8900000,1,31,"47,5",117,1.0,9
